FlSort,FlCde,Fleet,Flotte,Year/An,TFCde,TypeFishery,TypePêcherie,GrSort,GrCde,Gear,Engin,GrGroup,GrGroupe,GrMult,ClassLow,ClassHigh,ClassTypeCode,CLass type,noBoats_nBateaux,Fgrounds
26,"JPN    ",JAPAN,JAPON,1952,IND,Industrial Fishing,Pêcheries industrielles,5,LL,Longline,Palangre dérivante au-dessus de 1800 hameçons,Longline,Palangre,0,24,40,LOA,Length overall,1,PELAGIC
26,"JPN    ",JAPAN,JAPON,1952,IND,Industrial Fishing,Pêcheries industrielles,5,LL,Longline,Palangre dérivante au-dessus de 1800 hameçons,Longline,Palangre,0,40,60,LOA,Length overall,1,PELAGIC
26,"JPN    ",JAPAN,JAPON,1953,IND,Industrial Fishing,Pêcheries industrielles,5,LL,Longline,Palangre dérivante au-dessus de 1800 hameçons,Longline,Palangre,0,24,40,LOA,Length overall,4,PELAGIC
26,"JPN    ",JAPAN,JAPON,1953,IND,Industrial Fishing,Pêcheries industrielles,5,LL,Longline,Palangre dérivante au-dessus de 1800 hameçons,Longline,Palangre,0,40,60,LOA,Length overall,6,PELAGIC
6,"TWN    ","TAIWAN,CHINA","TAIWAN,CHINE",1954,IND,Industrial Fishing,Pêcheries industrielles,5,LL,Longline,Palangre dérivante au-dessus de 1800 hameçons,Longline,Palangre,0,24,40,LOA,Length overall,1,PELAGIC
6,"TWN    ","TAIWAN,CHINA","TAIWAN,CHINE",1954,IND,Industrial Fishing,Pêcheries industrielles,5,LL,Longline,Palangre dérivante au-dessus de 1800 hameçons,Longline,Palangre,0,40,60,LOA,Length overall,2,PELAGIC
26,"JPN    ",JAPAN,JAPON,1954,IND,Industrial Fishing,Pêcheries industrielles,5,LL,Longline,Palangre dérivante au-dessus de 1800 hameçons,Longline,Palangre,0,24,40,LOA,Length overall,10,PELAGIC
26,"JPN    ",JAPAN,JAPON,1954,IND,Industrial Fishing,Pêcheries industrielles,5,LL,Longline,Palangre dérivante au-dessus de 1800 hameçons,Longline,Palangre,0,40,60,LOA,Length overall,17,PELAGIC
6,"TWN    ","TAIWAN,CHINA","TAIWAN,CHINE",1955,IND,Industrial Fishing,Pêcheries industrielles,5,LL,Longline,Palangre dérivante au-dessus de 1800 hameçons,Longline,Palangre,0,24,40,LOA,Length overall,4,PELAGIC
6,"TWN    ","TAIWAN,CHINA","TAIWAN,CHINE",1955,IND,Industrial Fishing,Pêcheries industrielles,5,LL,Longline,Palangre dérivante au-dessus de 1800 hameçons,Longline,Palangre,0,40,60,LOA,Length overall,4,PELAGIC
26,"JPN    ",JAPAN,JAPON,1955,IND,Industrial Fishing,Pêcheries industrielles,5,LL,Longline,Palangre dérivante au-dessus de 1800 hameçons,Longline,Palangre,0,24,40,LOA,Length overall,13,PELAGIC
26,"JPN    ",JAPAN,JAPON,1955,IND,Industrial Fishing,Pêcheries industrielles,5,LL,Longline,Palangre dérivante au-dessus de 1800 hameçons,Longline,Palangre,0,40,60,LOA,Length overall,23,PELAGIC
6,"TWN    ","TAIWAN,CHINA","TAIWAN,CHINE",1956,IND,Industrial Fishing,Pêcheries industrielles,5,LL,Longline,Palangre dérivante au-dessus de 1800 hameçons,Longline,Palangre,0,24,40,LOA,Length overall,8,PELAGIC
6,"TWN    ","TAIWAN,CHINA","TAIWAN,CHINE",1956,IND,Industrial Fishing,Pêcheries industrielles,5,LL,Longline,Palangre dérivante au-dessus de 1800 hameçons,Longline,Palangre,0,40,60,LOA,Length overall,8,PELAGIC
26,"JPN    ",JAPAN,JAPON,1956,IND,Industrial Fishing,Pêcheries industrielles,5,LL,Longline,Palangre dérivante au-dessus de 1800 hameçons,Longline,Palangre,0,24,40,LOA,Length overall,24,PELAGIC
26,"JPN    ",JAPAN,JAPON,1956,IND,Industrial Fishing,Pêcheries industrielles,5,LL,Longline,Palangre dérivante au-dessus de 1800 hameçons,Longline,Palangre,0,40,60,LOA,Length overall,42,PELAGIC
6,"TWN    ","TAIWAN,CHINA","TAIWAN,CHINE",1957,IND,Industrial Fishing,Pêcheries industrielles,5,LL,Longline,Palangre dérivante au-dessus de 1800 hameçons,Longline,Palangre,0,15,24,LOA,Length overall,1,PELAGIC
6,"TWN    ","TAIWAN,CHINA","TAIWAN,CHINE",1957,IND,Industrial Fishing,Pêcheries industrielles,5,LL,Longline,Palangre dérivante au-dessus de 1800 hameçons,Longline,Palangre,0,24,40,LOA,Length overall,10,PELAGIC
6,"TWN    ","TAIWAN,CHINA","TAIWAN,CHINE",1957,IND,Industrial Fishing,Pêcheries industrielles,5,LL,Longline,Palangre dérivante au-dessus de 1800 hameçons,Longline,Palangre,0,40,60,LOA,Length overall,9,PELAGIC
26,"JPN    ",JAPAN,JAPON,1957,IND,Industrial Fishing,Pêcheries industrielles,5,LL,Longline,Palangre dérivante au-dessus de 1800 hameçons,Longline,Palangre,0,24,40,LOA,Length overall,22,PELAGIC
26,"JPN    ",JAPAN,JAPON,1957,IND,Industrial Fishing,Pêcheries industrielles,5,LL,Longline,Palangre dérivante au-dessus de 1800 hameçons,Longline,Palangre,0,40,60,LOA,Length overall,37,PELAGIC
